VERB,EMPLOI,IDX,Verbe freq.
examiner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2029
exaucer,Transitif,49,#N/A
excéder,Transitif,49,#N/A
exceller,Intransitif,29,#N/A
exciter,Fréquent - Transitif - Autorise la forme pronominale,25,957
s'exclamer,Autorise la forme pronominale,0,#N/A
exclure,Transitif - Autorise la forme pronominale,50,#N/A
excuser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
exécrer,Transitif,49,#N/A
exécuter,Fréquent - Transitif - Autorise la forme pronominale,25,1042
exempter,Transitif,49,#N/A
exercer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2410
exiger,Fréquent - Transitif,24,2786
exister,Fréquent - Intransitif,6,#N/A
expédier,Transitif,49,#N/A
expirer,Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,58,#N/A
expliquer,Fréquent - Transitif - Autorise la forme pronominale,25,7913
exploiter,Intransitif - Transitif,41,#N/A
explorer,Transitif,49,272
exploser,Intransitif,29,#N/A
exposer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
exprimer,Fréquent - Transitif - Autorise la forme pronominale,25,5183
s'extasier,Autorise la forme pronominale,0,#N/A
extraire,Transitif - Autorise la forme pronominale,50,#N/A
fabriquer,Fréquent - Intransitif - Transitif,16,586
fâcher,Fréquent - Transitif - Autorise la forme pronominale,25,958
faciliter,Transitif,49,#N/A
façonner,Transitif,49,#N/A
facturer,Transitif,49,#N/A
fader,Transitif,49,#N/A
faiblir,Intransitif,29,#N/A
se failler,Autorise la forme pronominale,0,#N/A
faillir,Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,#N/A
faire,Fréquent - Transitif - Autorise la forme pronominale,25,124653
falloir,Fréquent - Intransitif - Autorise la forme pronominale - Impersonnel,8,49925
familiariser,Transitif - Autorise la forme pronominale,50,#N/A
faner,Transitif - Autorise la forme pronominale,50,#N/A
farcir,Transitif - Autorise la forme pronominale,50,#N/A
fasciner,Transitif,49,#N/A
fatiguer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
fauter,Intransitif,29,#N/A
favoriser,Transitif,49,#N/A
faxer,Transitif,49,#N/A
feindre,Intransitif - Transitif,41,812
fêler,Transitif - Autorise la forme pronominale,50,#N/A
féliciter,Fréquent - Transitif - Autorise la forme pronominale,25,848
