VERB,TEMPLATE,S'EN,CAN BE PASSIVE,CAN BE FEMININ,PRONOMINAL ONLY,CAN BE PRONOMINAL,HAVE 2 FORMS OF CONJOUGATION,Fréquent,Transitif,Intransitif,pronominale,Impersonnel,*,Défectif,BE,Afrique,Québec,AVOIR,ÊTRE,DEFECTIVE,IMPERSONNEL,книжный,редкоупотребимый,устаревший,слэнг,GROUP No,Règle IDX,
,,,,,,,,is_frequent,is_transitive,is_intransitive,is_pronominal,,aspirate_h,,belgium,africa,canada,conjugated_with_avoir,conjugated_with_etre,is_defective,is_impersonal,book,is_rare,is_archaique,is_slang,group_no,,
affiler,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affilier,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,37,2
affiner,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
affirmer,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
affleurer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,1,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
afflouer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affluer,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,1,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affoler,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,1,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,3
affouiller,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,#N/A,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affourcher,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affriander,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affricher,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affrioler,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affriter,aim:er,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,1,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,1
affronter,aim:er,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,1,,1,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,1,114,2
