Группа,Прямая форма,Возвратная форма
I,équiper,s'équiper
I,érafler,s'érafler
I,érailler,s'érailler
I,éreinter,s'éreinter
I,ériger,s'ériger
I,éroder,s'éroder
I,esbigner,s'esbigner
I,escamper,s'escamper
I,esclaffer,s'esclaffer
I,escrimer,s'escrimer
I,espacer,s'espacer
I,esquinter,s'esquinter
I,esquisser,s'esquisser
I,esquiver,s'esquiver
I,essayer,s'essayer
I,esseuler,s'esseuler
I,essorer,s'essorer
I,essouffler,s'essouffler
I,essuyer,s'essuyer
I,estimer,s'estimer
I,estomper,s'estomper
I,estropier,s'estropier
I,étayer,s'étayer
I,étager,s'étager
I,étaler,s'étaler
I,éterniser,s'éterniser
I,étioler,s'étioler
I,étirer,s'étirer
I,étoffer,s'étoffer
I,étoiler,s'étoiler
I,étonner,s'étonner
I,étouffer,s'étouffer
I,étrangler,s'étrangler
I,étriper,s'étriper
I,étudier,s'étudier
I,européaniser,s'européaniser
I,évacuer,s'évacuer
I,évader,s'évader
I,évaporer,s'évaporer
I,évaser,s'évaser
I,éveiller,s'éveiller
I,éventer,s'éventer
I,éventrer,s'éventrer
I,évertuer,s'évertuer
I,éviter,s'éviter
I,évoluer,s'évoluer
I,exagérer,s'exagérer
I,exalter,s'exalter
I,examiner,s'examiner
I,exarcerber,s'exarcerber
I,exaspérer,s'exaspérer
I,exciter,s'exciter
I,exclamer,s'exclamer
I,excuser,s'excuser
I,exécuter,s'exécuter
I,exempter,s'exempter
I,exercer,s'exercer
I,exfolier,s'exfolier
I,exhaler,s'exhaler
I,exhiber,s'exhiber
I,exiler,s'exiler
I,exonder,s'exonder
I,expier,s'expier
I,expatrier,s'expatrier
I,expliquer,s'expliquer
I,exposer,s'exposer
I,exprimer,s'exprimer
I,extasier,s'extasier
I,exténuer,s'exténuer
I,extérioriser,s'extérioriser
I,extirper,s'extirper
I,extravaser,s'extravaser
I,fier,se fier
I,fabriquer,se fabriquer
I,fâcher,se fâcher
I,faciliter,se faciliter
I,fagoter,se fagoter
I,failler,se failler
I,faisander,se faisander
I,familiariser,se familiariser
I,faner,se faner
I,fanatiser,se fanatiser
I,fantaliser,se fantaliser
I,farder,se farder
I,fatiguer,se fatiguer
I,faufiler,se faufiler
I,fausser,se fausser
I,fédérer,se fédérer
I,fédéraliser,se fédéraliser
I,fêler,se fêler
I,féliciter,se féliciter
I,féminiser,se féminiser
I,fendiller,se fendiller
I,fermer,se fermer
I,feutrer,se feutrer
I,figer,se figer
I,fiancer,se fiancer
I,ficher,se ficher
I,figurer,se figurer
I,filer,se filer
I,finlandiser,se finlandiser
I,fissurer,se fissurer
I,fixer,se fixer
I,flageller,se flageller
I,flanquer,se flanquer
I,flatter,se flatter
I,flinguer,se flinguer
I,focaliser,se focaliser
I,fonder,se fonder
I,forcer,se forcer
I,forger,se forger
I,former,se former
I,formaliser,se formaliser
I,formuler,se formuler
I,fortifier,se fortifier
I,fossiliser,se fossiliser
I,fouiller,se fouiller
I,fouler,se fouler
I,fourrer,se fourrer
